Time,Movement,Light,Temperature,Humidity,Sound
02:41:02,0,45,21.50,37.00,1
02:41:03,0,40,21.50,37.00,1
02:41:04,0,44,21.50,37.00,1
02:41:05,0,40,21.50,37.00,1
02:41:06,0,44,21.50,37.00,1
02:41:07,0,40,21.50,37.00,1
02:41:08,0,44,21.50,37.00,1
02:41:09,0,40,21.50,37.00,1
02:41:10,0,45,21.50,37.00,1
02:41:11,0,41,21.50,37.00,1
02:41:12,0,44,21.50,37.00,1
02:41:13,0,40,21.50,37.00,1
02:41:14,0,44,21.50,37.00,1
02:41:15,0,40,21.50,37.00,1
02:41:16,0,44,21.50,37.00,1
02:41:17,0,40,21.50,37.00,1
02:41:18,0,44,21.50,37.00,1
02:41:19,0,40,21.50,37.00,1
02:41:20,0,44,21.50,37.00,1
02:41:21,0,40,21.50,37.00,1
02:41:22,0,44,21.50,37.00,1
02:41:23,0,40,21.50,37.00,1
02:41:24,0,44,21.50,37.00,1
02:41:25,0,40,21.50,37.00,1
02:41:26,0,44,21.50,37.00,1
02:41:27,0,40,21.50,37.00,1
02:41:28,0,44,21.50,37.00,1
02:41:29,0,41,21.50,37.00,1
02:41:30,0,44,21.50,37.00,1
02:41:31,0,41,21.50,37.00,1
02:41:32,0,44,21.50,37.00,1
02:41:33,0,40,21.50,37.00,1
02:41:34,0,45,21.50,37.00,1
02:41:35,0,40,21.50,37.00,1
02:41:36,0,44,21.50,37.00,1
02:41:37,0,40,21.50,37.00,1
02:41:38,0,44,21.50,37.00,1
02:41:39,0,41,21.50,37.00,1
02:41:40,0,44,21.50,37.00,1
02:41:41,0,40,21.50,37.00,1
02:41:42,0,44,21.50,37.00,1
02:41:43,0,40,21.50,37.00,1
02:41:44,0,44,21.50,37.00,1
02:41:46,0,40,21.50,37.00,1
02:41:47,0,44,21.50,37.00,1
02:41:48,0,41,21.50,37.00,1
02:41:49,0,44,21.50,37.00,1
02:41:50,0,40,21.50,37.00,1
02:41:51,0,44,21.50,37.00,1
02:41:52,0,40,21.50,37.00,1
02:41:53,0,44,21.50,37.00,1
02:41:54,0,40,21.50,37.00,1
02:41:55,0,44,21.50,37.00,1
02:41:56,0,40,21.50,37.00,1
02:41:57,0,44,21.50,37.00,1
02:41:58,0,40,21.50,37.00,1
02:41:59,0,44,21.50,37.00,1
02:42:00,0,40,21.50,37.00,1
02:42:01,0,44,21.50,37.00,1
02:42:02,0,40,21.50,37.00,1
02:42:03,0,44,21.50,37.00,1
02:42:04,0,40,21.50,37.00,1
02:42:05,0,45,21.50,37.00,1
02:42:06,0,40,21.50,37.00,1
02:42:07,0,44,21.50,37.00,1
02:42:08,0,40,21.50,37.00,1
02:42:09,0,44,21.50,37.00,1
02:42:10,0,40,21.50,37.00,1
02:42:11,0,44,21.50,37.00,1
02:42:12,0,41,21.50,37.00,1
02:42:13,0,44,21.50,37.00,1
02:42:14,0,40,21.50,37.00,1
02:42:15,0,44,21.50,37.00,1
