Time,Movement,Light,Temprature,Humidity,Sound
06:40:47,0,657,21.50,43.00,0
06:40:48,0,658,21.50,43.00,0
06:40:49,0,657,21.50,43.00,0
06:40:50,0,657,21.50,43.00,0
06:40:52,0,657,21.50,43.00,0
06:40:53,0,657,21.50,43.00,0
06:40:54,0,657,21.50,43.00,0
06:40:55,0,657,21.50,43.00,0
06:40:56,0,656,21.50,43.00,0
06:40:57,0,656,21.50,43.00,0
06:40:58,0,656,21.50,43.00,0
06:40:59,0,656,21.50,43.00,0
06:41:00,0,656,21.50,43.00,0
06:41:01,0,656,21.50,43.00,0
06:41:02,0,656,21.50,43.00,0
06:41:03,0,656,21.50,43.00,0
06:41:04,0,655,21.50,43.00,0
06:41:05,0,656,21.50,43.00,0
06:41:06,0,655,21.50,43.00,0
06:41:07,0,655,21.50,43.00,0
06:41:08,0,655,21.50,43.00,0
06:41:09,0,655,21.50,43.00,0
06:41:10,0,655,21.50,43.00,0
06:41:11,0,655,21.50,43.00,0
06:41:12,0,654,21.50,43.00,0
06:41:13,0,655,21.50,43.00,0
06:41:14,0,654,21.50,43.00,0
06:41:15,0,655,21.50,43.00,0
06:41:16,0,654,21.50,43.00,0
06:41:17,0,654,21.50,43.00,0
06:41:18,0,654,21.50,43.00,0
06:41:19,0,654,21.50,43.00,0
06:41:20,0,654,21.50,43.00,0
06:41:21,0,654,21.50,43.00,0
06:41:22,0,654,21.50,43.00,0
06:41:23,0,654,21.50,43.00,0
06:41:24,0,654,21.50,43.00,0
06:41:25,0,654,21.50,43.00,0
06:41:26,0,653,21.50,43.00,0
06:41:27,0,654,21.50,43.00,0
06:41:28,0,653,21.50,43.00,0
06:41:29,0,653,21.50,43.00,0
